firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Michael,Taylor,Michael Taylor,4.5,2.6,92.0,46,2275370,U2Nob29sLTQ4MQ==,Kennesaw State University
Mary,Cagle,Mary Cagle,3.2,2.8,40.7407,27,1956100,U2Nob29sLTQ4MQ==,Kennesaw State University
Bhupinder,Naidu,Bhupinder Naidu,4.4,2.4,84.6154,24,1339721,U2Nob29sLTQ4MQ==,Kennesaw State University
Lynn,Disbrow,Lynn Disbrow,5.0,1.5,100.0,2,2746466,U2Nob29sLTQ4MQ==,Kennesaw State University
Shubam,Sharma,Shubam Sharma,5.0,1.2,100.0,6,2723583,U2Nob29sLTQ4MQ==,Kennesaw State University
Veronica,Luckow,Veronica Luckow,3.4,3.5,60.0,56,2083435,U2Nob29sLTQ4MQ==,Kennesaw State University
Ann,Leardine,Ann Leardine,4.2,2.9,84.6154,19,2629025,U2Nob29sLTQ4MQ==,Kennesaw State University
Maria,Schofer,Maria Schofer,3.7,3.1,85.3659,76,1481435,U2Nob29sLTQ4MQ==,Kennesaw State University
Stuart,Napshin,Stuart Napshin,3.7,3.3,69.2308,21,1572306,U2Nob29sLTQ4MQ==,Kennesaw State University
Brandi,Ellis,Brandi Ellis,4.2,2.6,92.8571,11,2710258,U2Nob29sLTQ4MQ==,Kennesaw State University
Mehdi,Sarmast,Mehdi Sarmast,4.3,2.6,83.3333,16,2333812,U2Nob29sLTQ4MQ==,Kennesaw State University
Altug,Poyraz,Altug Poyraz,4.5,2.9,91.6667,22,2284799,U2Nob29sLTQ4MQ==,Kennesaw State University
Daniel,Landis,Daniel Landis,3.6,3.5,83.7838,46,1732478,U2Nob29sLTQ4MQ==,Kennesaw State University
Wilson,Espinoza,Wilson Espinoza,0.0,0.0,100.0,0,2765845,U2Nob29sLTQ4MQ==,Kennesaw State University
Kamal,Fatehi,Kamal Fatehi,2.7,2.9,40.0,24,1304436,U2Nob29sLTQ4MQ==,Kennesaw State University
Simin,Nasseri,Simin Nasseri,4.6,2.7,100.0,38,932558,U2Nob29sLTQ4MQ==,Kennesaw State University
Tristan,Glenn,Tristan Glenn,2.4,3.4,23.0769,13,2250497,U2Nob29sLTQ4MQ==,Kennesaw State University
